scope,strategy,marketFrequency,maxChangesPerWindow,stopLossThreshold,takeProfitThreshold,numScenarios,avgROI,medianROI,bestROI,worstROI,volatility,pctAbove0,pctAbove7,pctAbove10,avgTrades,avgCommissions,avgPlatformRevenue,avgDeltaVsHold,overtradingRisk
completed,MOMENTUM,3,1,-10,15,2,-29.5362,-29.5362,-27.9799,-31.0925,1.5563,0.0000,0.0000,0.0000,12.0000,25.0492,2.5049,-246.7329,LOW
completed,MOMENTUM,3,3,-5,7,2,-68.2432,-68.2432,-66.8653,-69.6211,1.3779,0.0000,0.0000,0.0000,36.0000,29.9825,2.9983,-285.4398,HIGH
completed,MOMENTUM,3,3,-5,10,2,-68.2432,-68.2432,-66.8653,-69.6211,1.3779,0.0000,0.0000,0.0000,36.0000,29.9825,2.9983,-285.4398,HIGH
completed,MOMENTUM,3,3,-5,15,2,-68.2432,-68.2432,-66.8653,-69.6211,1.3779,0.0000,0.0000,0.0000,36.0000,29.9825,2.9983,-285.4398,HIGH
completed,MOMENTUM,3,3,-10,7,2,-68.2432,-68.2432,-66.8653,-69.6211,1.3779,0.0000,0.0000,0.0000,36.0000,29.9825,2.9983,-285.4398,HIGH
completed,MOMENTUM,3,3,-10,10,2,-68.2432,-68.2432,-66.8653,-69.6211,1.3779,0.0000,0.0000,0.0000,36.0000,29.9825,2.9983,-285.4398,HIGH
completed,MOMENTUM,3,3,-10,15,2,-68.2432,-68.2432,-66.8653,-69.6211,1.3779,0.0000,0.0000,0.0000,36.0000,29.9825,2.9983,-285.4398,HIGH
completed,MOMENTUM,3,5,-5,7,2,-68.4034,-68.4034,-66.0290,-70.7779,2.3744,0.0000,0.0000,0.0000,60.0000,34.7746,3.4775,-285.6001,HIGH
completed,MOMENTUM,3,5,-5,10,2,-68.4034,-68.4034,-66.0290,-70.7779,2.3744,0.0000,0.0000,0.0000,60.0000,34.7746,3.4775,-285.6001,HIGH
completed,MOMENTUM,3,5,-5,15,2,-68.4034,-68.4034,-66.0290,-70.7779,2.3744,0.0000,0.0000,0.0000,60.0000,34.7746,3.4775,-285.6001,HIGH
completed,MOMENTUM,3,5,-10,7,2,-68.4034,-68.4034,-66.0290,-70.7779,2.3744,0.0000,0.0000,0.0000,60.0000,34.7746,3.4775,-285.6001,HIGH
completed,MOMENTUM,3,5,-10,10,2,-68.4034,-68.4034,-66.0290,-70.7779,2.3744,0.0000,0.0000,0.0000,60.0000,34.7746,3.4775,-285.6001,HIGH
completed,MOMENTUM,3,5,-10,15,2,-68.4034,-68.4034,-66.0290,-70.7779,2.3744,0.0000,0.0000,0.0000,60.0000,34.7746,3.4775,-285.6001,HIGH
completed,MOMENTUM,5,1,-5,7,2,-22.0861,-22.0861,-18.9451,-25.2270,3.1409,0.0000,0.0000,0.0000,7.0000,23.7561,2.3756,-239.2827,LOW
completed,MOMENTUM,5,1,-5,10,2,-22.0861,-22.0861,-18.9451,-25.2270,3.1409,0.0000,0.0000,0.0000,7.0000,23.7561,2.3756,-239.2827,LOW
completed,MOMENTUM,5,1,-5,15,2,-22.0861,-22.0861,-18.9451,-25.2270,3.1409,0.0000,0.0000,0.0000,7.0000,23.7561,2.3756,-239.2827,LOW
completed,MOMENTUM,5,1,-10,7,2,-22.0861,-22.0861,-18.9451,-25.2270,3.1409,0.0000,0.0000,0.0000,7.0000,23.7561,2.3756,-239.2827,LOW
completed,MOMENTUM,5,1,-10,10,2,-22.0861,-22.0861,-18.9451,-25.2270,3.1409,0.0000,0.0000,0.0000,7.0000,23.7561,2.3756,-239.2827,LOW
completed,MOMENTUM,5,1,-10,15,2,-22.0861,-22.0861,-18.9451,-25.2270,3.1409,0.0000,0.0000,0.0000,7.0000,23.7561,2.3756,-239.2827,LOW
completed,MOMENTUM,5,3,-5,7,2,-52.4633,-52.4633,-47.9311,-56.9955,4.5322,0.0000,0.0000,0.0000,21.0000,27.1370,2.7137,-269.6600,MEDIUM
completed,MOMENTUM,5,3,-5,10,2,-52.4633,-52.4633,-47.9311,-56.9955,4.5322,0.0000,0.0000,0.0000,21.0000,27.1370,2.7137,-269.6600,MEDIUM
completed,MOMENTUM,5,3,-5,15,2,-52.4633,-52.4633,-47.9311,-56.9955,4.5322,0.0000,0.0000,0.0000,21.0000,27.1370,2.7137,-269.6600,MEDIUM
completed,MOMENTUM,5,3,-10,7,2,-52.4633,-52.4633,-47.9311,-56.9955,4.5322,0.0000,0.0000,0.0000,21.0000,27.1370,2.7137,-269.6600,MEDIUM
completed,MOMENTUM,5,3,-10,10,2,-52.4633,-52.4633,-47.9311,-56.9955,4.5322,0.0000,0.0000,0.0000,21.0000,27.1370,2.7137,-269.6600,MEDIUM
completed,MOMENTUM,5,3,-10,15,2,-52.4633,-52.4633,-47.9311,-56.9955,4.5322,0.0000,0.0000,0.0000,21.0000,27.1370,2.7137,-269.6600,MEDIUM
completed,MOMENTUM,5,5,-5,7,2,-62.9418,-62.9418,-58.2034,-67.6803,4.7385,0.0000,0.0000,0.0000,35.0000,30.4264,3.0426,-280.1385,MEDIUM
completed,MOMENTUM,5,5,-5,10,2,-62.9418,-62.9418,-58.2034,-67.6803,4.7385,0.0000,0.0000,0.0000,35.0000,30.4264,3.0426,-280.1385,MEDIUM
completed,MOMENTUM,5,5,-5,15,2,-62.9418,-62.9418,-58.2034,-67.6803,4.7385,0.0000,0.0000,0.0000,35.0000,30.4264,3.0426,-280.1385,MEDIUM
completed,MOMENTUM,5,5,-10,7,2,-62.9418,-62.9418,-58.2034,-67.6803,4.7385,0.0000,0.0000,0.0000,35.0000,30.4264,3.0426,-280.1385,MEDIUM
completed,MOMENTUM,5,5,-10,10,2,-62.9418,-62.9418,-58.2034,-67.6803,4.7385,0.0000,0.0000,0.0000,35.0000,30.4264,3.0426,-280.1385,MEDIUM
completed,MOMENTUM,5,5,-10,15,2,-62.9418,-62.9418,-58.2034,-67.6803,4.7385,0.0000,0.0000,0.0000,35.0000,30.4264,3.0426,-280.1385,MEDIUM
completed,MOMENTUM,7,1,-5,7,2,-19.4173,-19.4173,-16.1917,-22.6429,3.2256,0.0000,0.0000,0.0000,5.0000,23.4316,2.3432,-236.6140,LOW
completed,MOMENTUM,7,1,-5,10,2,-19.4173,-19.4173,-16.1917,-22.6429,3.2256,0.0000,0.0000,0.0000,5.0000,23.4316,2.3432,-236.6140,LOW
completed,MOMENTUM,7,1,-5,15,2,-19.4173,-19.4173,-16.1917,-22.6429,3.2256,0.0000,0.0000,0.0000,5.0000,23.4316,2.3432,-236.6140,LOW
completed,MOMENTUM,7,1,-10,7,2,-19.4173,-19.4173,-16.1917,-22.6429,3.2256,0.0000,0.0000,0.0000,5.0000,23.4316,2.3432,-236.6140,LOW
completed,MOMENTUM,7,1,-10,10,2,-19.4173,-19.4173,-16.1917,-22.6429,3.2256,0.0000,0.0000,0.0000,5.0000,23.4316,2.3432,-236.6140,LOW
completed,MOMENTUM,7,1,-10,15,2,-19.4173,-19.4173,-16.1917,-22.6429,3.2256,0.0000,0.0000,0.0000,5.0000,23.4316,2.3432,-236.6140,LOW
