buy_commission_pct,sell_commission_pct,platform_fee_pct,avg_organizer_margin_pct,org_profit_per_participant,avg_platform_revenue,avg_prize_pool,avg_first_prize,avg_winner_roi_pct,pct_above_0,platform_loss_risk_pct,is_sustainable,is_pareto_optimal,score_max_organizer,score_participant_welfare,score_winner_attractiveness,score_balanced
10,2,20,20,48.48,2424.08,9696.33,3878.53,7657,12,0,true,false,2424.08,12,8.9435,14.4359
10,2,25,25,60.6,3030.1,9090.31,3636.13,7172,12,0,true,false,3030.1,12,8.8781,16.4195
10,5,5,5,14.14,707.07,13434.38,5373.75,10648,12,0,true,false,707.07,12,9.2732,8.5183
10,5,10,10,28.28,1414.14,12727.3,5090.92,10082,12,0,true,false,1414.14,12,9.2186,10.5046
10,5,15,15,42.42,2121.22,12020.23,4808.09,9516,12,0,true,false,2121.22,12,9.1609,12.4902
10,5,20,20,56.57,2828.29,11313.16,4525.26,8951,12,0,true,false,2828.29,12,9.0996,14.4749
10,5,25,25,70.71,3535.36,10606.09,4242.43,8385,12,0,true,false,3535.36,12,9.0343,16.4586
10,8,5,5,16.11,805.36,15301.89,6120.76,12142,12,0,true,true,805.36,12,9.4045,8.5511
10,8,10,10,32.21,1610.73,14496.53,5798.61,11497,12,0,true,true,1610.73,12,9.3499,10.5375
10,8,15,15,48.32,2416.09,13691.16,5476.47,10853,12,0,true,true,2416.09,12,9.2923,12.5231
10,8,20,20,64.43,3221.45,12885.8,5154.32,10209,12,0,true,true,3221.45,12,9.2311,14.5078
10,8,25,25,80.54,4026.81,12080.44,4832.18,9564,12,0,true,true,4026.81,12,9.1659,16.4915
